Chemical_Name,Skin_Type,Description
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"homosalate', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium hyaluronate',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"ammonium lactate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cetearyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'capric",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'capric",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'behentrimonium",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"dimethicon', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cetearyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'cetearyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"colloidal oatmeal',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"ethylhexyl methoxycinnamate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"paraffinum liquidum',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"colloidal oatmeal',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
helianthus annuus,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'homosalate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cetearyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"paraffinum liquidum',",Combination Skin,"An emulsifier and pH adjuster used in skincare formulations, suitable for oily and combination skin types."
"squalene', 'glycerin',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"ethylhexyl palmitate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dimethicon', 'isododecane',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"octocrylene', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"c12-15', 'dicaprylyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"squalene', 'behenyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"ethylhexyl salicylate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"paraffinum liquidum',",Combination Skin,"An emulsifier and pH adjuster used in skincare formulations, suitable for oily and combination skin types."
"propanediol', 'capric",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'squalene',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
cocos nucifera,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'capric",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'pentylene",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"propylene glycol',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
helianthus annuus,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cetearyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"ethylhexyl methoxycinnamate',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"ethylhexyl salicylate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"homosalate', 'ethylhexyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'capric",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"petrolatum (568%)',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"glycerin', 'butyrospermum",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cyclopentasiloxane', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dimethicon', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
glyceryl stearate,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'squalene',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"dimethicon', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"paraffinum liquidum',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"c12-15', 'tapioca",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"ethylhexyl palmitate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"inulin', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
vitis vinifera,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propylene",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"squalene', 'cocos",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"paraffinum liquidum',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'alcohol",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethicon', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propanediol', 'capric",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'squalene',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'sodium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"hydrogenated polyisobutene',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"ethylhexyl palmitate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'dipropylene",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glyceryl stearate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"squalene', 'butyrospermum",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium lactate',",Combination Skin,"An emollient and thickening agent that can hydrate dry skin, but may be comedogenic for oily skin types."
"caprylyl methicone',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cyclopentasiloxane', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethicon', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'alcohol",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"c12-15', 'capric",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dimethicon', 'butyrospermum",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"ethylhexyl hydroxystearate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'glyceryl",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
helianthus annuus,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"ethylhexyl methoxycinnamate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"squalene', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
snail secretion,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'butylene",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"homosalate', 'alcohol",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"isododecane', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
